before;after;refactoring;path;class;type;cbo;wmc;rfc;lcom;nom;nopm;nosm;nof;nopf;nosf;nosi;loc
1ceae316ef35bca33797fc33e8939ea4b2cf12e2;e362380f436e30b56430f11be6a1ea548a034346;MOVE_ATTRIBUTE;server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractProvider.java;org.apache.abdera.protocol.server.impl.AbstractProvider;class;41;97;78;173;35;8;2;7;0;6;0;512
787b8b731302d622faee25b3f2cdaeb5eae15387;5b9de6102d7ccfa3b929c476f2c863604a9642ea;EXTRACT_OPERATION;extensions/src/main/java/org/apache/abdera/ext/geo/GeoHelper.java;org.apache.abdera.ext.geo.GeoHelper;class;23;78;47;87;15;5;15;20;20;20;16;284
23edf4d9dced39d71cc1aa9de6b82e75f9b07432;31f6fc499aef338f9e0de6ab65c7a8f9261d9601;EXTRACT_OPERATION;core/src/main/java/org/apache/abdera/util/MimeTypeHelper.java;org.apache.abdera.util.MimeTypeHelper;class;19;70;33;136;16;14;16;1;0;1;19;272
b073834d9eef16080cfe302e4f1792afe980c1bd;cef1c23b0b99a0317922e96b66cc94214ca2b328;EXTRACT_OPERATION;client/src/main/java/org/apache/abdera/protocol/client/RequestOptions.java;org.apache.abdera.protocol.client.RequestOptions;class;16;83;32;1637;58;56;0;8;0;0;0;437
b073834d9eef16080cfe302e4f1792afe980c1bd;cef1c23b0b99a0317922e96b66cc94214ca2b328;EXTRACT_OPERATION;client/src/main/java/org/apache/abdera/protocol/client/RequestOptions.java;org.apache.abdera.protocol.client.RequestOptions;class;16;83;32;1637;58;56;0;8;0;0;0;437
0ce4f701cf88d74a2d0a5fbfd719f53f614b783a;20ca396440f5548662e411a6d97256e87eefba7e;EXTRACT_SUPERCLASS;parser/src/main/java/org/apache/abdera/parser/stax/FOMWriter.java;org.apache.abdera.parser.stax.FOMWriter;class;7;8;4;28;8;8;0;0;0;0;0;67
0ce4f701cf88d74a2d0a5fbfd719f53f614b783a;20ca396440f5548662e411a6d97256e87eefba7e;INLINE_OPERATION;parser/src/main/java/org/apache/abdera/parser/stax/util/PrettyWriter.java;org.apache.abdera.parser.stax.util.PrettyWriter;class;18;44;43;0;39;37;0;5;0;2;0;223
0ce4f701cf88d74a2d0a5fbfd719f53f614b783a;20ca396440f5548662e411a6d97256e87eefba7e;PULL_UP_OPERATION;parser/src/main/java/org/apache/abdera/parser/stax/FOMWriter.java;org.apache.abdera.parser.stax.FOMWriter;class;7;8;4;28;8;8;0;0;0;0;0;67
27da10ba4f9e16056366e5c973bc4316186ef747;0f7c683c50d9ed9acaa95712b9ff7628432b73f2;EXTRACT_CLASS;protocol/src/main/java/org/apache/abdera/protocol/util/EncodingUtil.java;org.apache.abdera.protocol.util.EncodingUtil;class;13;34;13;79;14;14;14;1;1;1;10;162
a45b205f6f9cc21ed0abf782610c15ddc65889c5;2b32a032917a28666a7f926318304e9414550ad6;RENAME_ATTRIBUTE;core/src/main/java/org/apache/abdera/util/AbderaDataSource.java;org.apache.abdera.util.AbderaDataSource;class;13;7;5;0;5;5;0;1;0;0;0;56
945768fec963f75eede9ff340e0aa0660c11860a;5b2c197ccd5abf9047b347feb6a8f1ab04fe8ca5;EXTRACT_OPERATION;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;14;42;35;220;24;12;1;10;0;10;10;350
945768fec963f75eede9ff340e0aa0660c11860a;5b2c197ccd5abf9047b347feb6a8f1ab04fe8ca5;PARAMETERIZE_VARIABLE;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;14;42;35;220;24;12;1;10;0;10;10;350
945768fec963f75eede9ff340e0aa0660c11860a;5b2c197ccd5abf9047b347feb6a8f1ab04fe8ca5;EXTRACT_OPERATION;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;14;42;35;220;24;12;1;10;0;10;10;350
945768fec963f75eede9ff340e0aa0660c11860a;5b2c197ccd5abf9047b347feb6a8f1ab04fe8ca5;PARAMETERIZE_VARIABLE;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;14;42;35;220;24;12;1;10;0;10;10;350
945768fec963f75eede9ff340e0aa0660c11860a;5b2c197ccd5abf9047b347feb6a8f1ab04fe8ca5;EXTRACT_OPERATION;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;14;42;35;220;24;12;1;10;0;10;10;350
945768fec963f75eede9ff340e0aa0660c11860a;5b2c197ccd5abf9047b347feb6a8f1ab04fe8ca5;PARAMETERIZE_VARIABLE;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;14;42;35;220;24;12;1;10;0;10;10;350
2f15ff265cf4f85babef41da480295a3348875b3;bee872e4eb77c64cbf687c463120c91666d7ffb1;EXTRACT_OPERATION;client/src/main/java/org/apache/abdera/protocol/client/cache/SimpleCacheKey.java;org.apache.abdera.protocol.client.cache.SimpleCacheKey;class;7;10;5;0;5;5;0;3;0;1;0;55
fc8db40d71950543bee642d9f24ffc5e752bec91;8a9a6efc3edc17ee571eb33c04b3ee8c7c5ecd7f;EXTRACT_VARIABLE;parser/src/main/java/org/apache/abdera/parser/stax/FOMContent.java;org.apache.abdera.parser.stax.FOMContent;class;33;85;38;0;27;21;0;2;0;1;0;317
508dd11113dcfcd2c10de458d15dd5cfef1799c0;2297547d8ccb6445762c36892367bffc49526c6f;EXTRACT_OPERATION;client/src/main/java/org/apache/abdera/protocol/client/AbderaClient.java;org.apache.abdera.protocol.client.AbderaClient;class;46;83;63;892;45;40;7;4;1;1;4;420
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;client/src/test/java/org/apache/abdera/test/client/app/AppTest.java;org.apache.abdera.test.client.app.AppTest;class;38;48;95;54;17;4;5;9;0;5;14;532
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;client/src/test/java/org/apache/abdera/test/client/app/AppTest.java;org.apache.abdera.test.client.app.AppTest;class;38;48;95;54;17;4;5;9;0;5;14;532
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;15;42;35;220;24;12;1;10;0;10;10;353
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;15;42;35;220;24;12;1;10;0;10;10;353
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;15;42;35;220;24;12;1;10;0;10;10;353
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;client/src/test/java/org/apache/abdera/test/client/cache/CacheTest.java;org.apache.abdera.test.client.cache.CacheTest;class;15;42;35;220;24;12;1;10;0;10;10;353
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;examples/src/main/java/org/apache/abdera/examples/appclient/Main.java;org.apache.abdera.examples.appclient.Main;class;14;9;26;3;3;1;3;0;0;0;9;119
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;examples/src/main/java/org/apache/abdera/examples/appclient/Services.java;org.apache.abdera.examples.appclient.Services;class;18;9;28;6;4;4;4;0;0;0;0;205
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;examples/src/main/java/org/apache/abdera/examples/appclient/Services.java;org.apache.abdera.examples.appclient.Services;class;18;9;28;6;4;4;4;0;0;0;0;205
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;examples/src/main/java/org/apache/abdera/examples/appclient/Services.java;org.apache.abdera.examples.appclient.Services;class;18;9;28;6;4;4;4;0;0;0;0;205
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;examples/src/main/java/org/apache/abdera/examples/appclient/Services.java;org.apache.abdera.examples.appclient.Services;class;18;9;28;6;4;4;4;0;0;0;0;205
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_PARAMETER;extensions/src/main/java/org/apache/abdera/ext/editor/Editor.java;org.apache.abdera.ext.editor.Editor;class;39;99;36;712;48;46;1;23;0;3;6;425
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_ATTRIBUTE;extensions/src/main/java/org/apache/abdera/ext/editor/Editor.java;org.apache.abdera.ext.editor.Editor;class;39;99;36;712;48;46;1;23;0;3;6;425
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_VARIABLE;extensions/src/main/java/org/apache/abdera/ext/gdata/GoogleLoginAuthScheme.java;org.apache.abdera.ext.gdata.GoogleLoginAuthScheme;class;22;16;27;15;10;8;2;1;0;0;0;145
10039c5c2e555f1511380825092d7092feef0eff;7eea9d8e38c4338e5a6653453b264560e54ea0d9;RENAME_PARAMETER;extensions/src/main/java/org/apache/abdera/ext/gdata/GoogleLoginAuthScheme.java;org.apache.abdera.ext.gdata.GoogleLoginAuthScheme;class;22;16;27;15;10;8;2;1;0;0;0;145
